Sequence,Prediction,ScriptPath,functionName_position,LineNumbers
"['arguments', 'responseContainer']",99.9%,/home/jibesh/jsdataset/jquery/src/ajax/jsonp.js,__ANONYMOUS___262171,"[65, 65]"
"['name', 'normalizedName']",99.53%,/home/jibesh/jsdataset/jquery/external/requirejs/require.js,makeModuleMap_1703944,"[433, 444]"
"['or', 'exist']",88.24%,/home/jibesh/jsdataset/jquery/test/unit/css.js,__ANONYMOUS___6529026,"[1596, 1596]"
"['token', 'route']",95.39%,/home/jibesh/jsdataset/jquery/external/sinon/sinon.js,tokensToRegExp_30093312,"[7361, 7364]"
"['token', 'route']",95.39%,/home/jibesh/jsdataset/jquery/external/sinon/sinon.js,tokensToRegExp_30093312,"[7361, 7364]"
"['token', 'route']",95.39%,/home/jibesh/jsdataset/jquery/external/sinon/sinon.js,tokensToRegExp_30093312,"[7361, 7364]"
"['object', 'proto']",56.87%,/home/jibesh/jsdataset/jquery/external/sinon/sinon.js,getPropertyDescriptor$jscomp$6_13729809,"[3353, 3353]"
"['hook', 'failed']",64.83%,/home/jibesh/jsdataset/jquery/external/sinon/sinon.js,__ANONYMOUS___569363,"[150, 150]"
"['type', 'finalDataType']",99.6%,/home/jibesh/jsdataset/jquery/test/data/jquery-1.9.1.js,ajaxHandleResponses_34279424,"[8408, 8408]"
"['and', 'result']",95.63%,/home/jibesh/jsdataset/jquery/external/qunit/qunit.js,throws_16220171,"[4004, 4004]"
"['type', 'data']",99.69%,/home/jibesh/jsdataset/jquery/src/queue.js,__ANONYMOUS___315400,"[81, 81]"
"['undefined', 'fxNow']",95.25%,/home/jibesh/jsdataset/jquery/src/effects.js,__ANONYMOUS___188436,"[47, 47]"
"['ne', 'j']",98.04%,/home/jibesh/jsdataset/jquery/external/sizzle/dist/sizzle.min.js,wa_12287,"[2, 2]"
"['arguments', 'response']",99.93%,/home/jibesh/jsdataset/jquery/src/ajax/load.js,__ANONYMOUS___204812,"[53, 53]"
"['module', 'currentModule']",83.08%,/home/jibesh/jsdataset/jquery/external/qunit/qunit.js,processModule_4755458,"[1169, 1196]"
